LocationType,Location,Single Age,TimeFrame,DataFormat,Data
City,District of Columbia,<1,1993,Number,8217
State,Delaware,<1,1993,Number,10227
State,Connecticut,<1,1993,Number,45930
State,Colorado,<1,1993,Number,53021
State,California,<1,1993,Number,564236
State,Arkansas,<1,1993,Number,33578
State,Arizona,<1,1993,Number,67644
State,Alaska,<1,1993,Number,10621
State,Alabama,<1,1993,Number,59700
Nation,United States,<1,1993,Number,3894191
Nation,United States,<1,1994,Number,3837113
State,Alabama,<1,1994,Number,58711
State,Alaska,<1,1994,Number,10068
State,Arizona,<1,1994,Number,68207
State,Arkansas,<1,1994,Number,33827
State,California,<1,1994,Number,547307
State,Colorado,<1,1994,Number,52730
State,Connecticut,<1,1994,Number,44858
State,Delaware,<1,1994,Number,10089
City,District of Columbia,<1,1994,Number,7931
State,Florida,<1,1994,Number,185250
State,Georgia,<1,1994,Number,106980
State,Hawaii,<1,1994,Number,18178
State,Idaho,<1,1994,Number,17394
State,Illinois,<1,1994,Number,182330
State,Indiana,<1,1994,Number,81322
State,Iowa,<1,1994,Number,36374
State,Kansas,<1,1994,Number,36252
State,Kentucky,<1,1994,Number,52032
State,Louisiana,<1,1994,Number,65420
State,Maine,<1,1994,Number,14261
State,Maryland,<1,1994,Number,73186
State,Massachusetts,<1,1994,Number,82205
State,Michigan,<1,1994,Number,134391
State,Minnesota,<1,1994,Number,62884
State,Mississippi,<1,1994,Number,40435
State,Missouri,<1,1994,Number,71576
State,Montana,<1,1994,Number,10935
State,Nebraska,<1,1994,Number,22444
State,Nevada,<1,1994,Number,23469
State,New Hampshire,<1,1994,Number,15013
State,New Jersey,<1,1994,Number,114395
State,New Mexico,<1,1994,Number,26922
State,New York,<1,1994,Number,268441
State,North Carolina,<1,1994,Number,98557
State,North Dakota,<1,1994,Number,8384
State,Ohio,<1,1994,Number,153453
State,Oklahoma,<1,1994,Number,44430
State,Oregon,<1,1994,Number,41188
State,Pennsylvania,<1,1994,Number,153059
State,Rhode Island,<1,1994,Number,13534
State,South Carolina,<1,1994,Number,50940
State,South Dakota,<1,1994,Number,10150
State,Tennessee,<1,1994,Number,71307
State,Texas,<1,1994,Number,313053
State,Utah,<1,1994,Number,37653
State,Vermont,<1,1994,Number,7115
State,Virginia,<1,1994,Number,91178
