LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Alabama,Total,2018,Number,16616
State,Alabama,<3,2013,Number,2294
State,Alabama,3,2013,Number,6554
State,Alabama,5 years and older,2013,Number,183
State,Alabama,4,2013,Number,11128
State,Alabama,Total,2013,Number,20159
State,Alabama,Total,2008,Number,18101
State,Alabama,4,2008,Number,10165
State,Alabama,5 years and older,2008,Number,195
State,Alabama,3,2008,Number,6714
State,Alabama,<3,2008,Number,1027
State,Alabama,<3,1989,Number,179
State,Alabama,3,1989,Number,2899
State,Alabama,5 years and older,1989,Number,1147
State,Alabama,4,1989,Number,7383
State,Alabama,Total,1989,Number,11608
State,Alabama,Total,2007,Number,18207
State,Alabama,4,2007,Number,10234
State,Alabama,5 years and older,2007,Number,330
State,Alabama,3,2007,Number,6643
State,Alabama,<3,2007,Number,1000
State,Alabama,5 years and older,2005,Number,338
State,Alabama,Total,2005,Number,18214
State,Alabama,4,2005,Number,11408
State,Alabama,3,2005,Number,5638
State,Alabama,<3,2005,Number,830
State,Alabama,<3,2006,Number,951
State,Alabama,3,2006,Number,6260
State,Alabama,4,2006,Number,10999
State,Alabama,Total,2006,Number,19007
State,Alabama,5 years and older,2006,Number,797
State,Alabama,5 years and older,2003,Number,190
State,Alabama,Total,2003,Number,18116
State,Alabama,4,2003,Number,11038
State,Alabama,3,2003,Number,6103
State,Alabama,<3,2003,Number,785
State,Alabama,<3,2004,Number,852
State,Alabama,3,2004,Number,6129
State,Alabama,4,2004,Number,11125
State,Alabama,Total,2004,Number,18289
State,Alabama,5 years and older,2004,Number,183
State,Alabama,<3,2002,Number,680
State,Alabama,3,2002,Number,5810
State,Alabama,4,2002,Number,10862
State,Alabama,5 years and older,2002,Number,225
State,Alabama,Total,2002,Number,17577
State,Alabama,Total,2001,Number,17125
State,Alabama,5 years and older,2001,Number,173
State,Alabama,4,2001,Number,10726
State,Alabama,3,2001,Number,5615
State,Alabama,<3,2001,Number,611
State,Alabama,<3,2000,Number,436
State,Alabama,3,2000,Number,4686
State,Alabama,4,2000,Number,10456
State,Alabama,5 years and older,2000,Number,516
State,Alabama,Total,2000,Number,16094
State,Alabama,Total,1999,Number,15995
State,Alabama,5 years and older,1999,Number,490
State,Alabama,4,1999,Number,10759
State,Alabama,3,1999,Number,4390
State,Alabama,<3,1999,Number,356
State,Alabama,<3,1998,Number,234
State,Alabama,3,1998,Number,3878
State,Alabama,4,1998,Number,11015
